"site";"ABIBAL";"Abies sp.";"ACEGIN";"ACENEG";"ACENIG";"ACEPEN";"ACEPLA";"Acer sp.";"ACERUB";"ACESAC";"ACESACX";"Actaea sp.";"ACTPAC";"ACTRUB";"ADIPED";"AGEALT";"AGRSTR";"ALLPET";"ALLTRI";"Amelanchier sp.";"AMPBRA";"ANEACU";"ANTSYL";"ARANUD";"ARARAC";"ARCMIN";"ARITRI";"ASACAN";"Aster sp.";"ATHFIL";"ATHTHE";"BERTHU";"BETALL";"BETPOP";"BRAERE";"Campanula sp.";"CAMRAP";"CARARC";"CARCAR";"CARCOR";"Carex sp.";"CARHIR";"CAROVA";"CARPLA";"CARRAD";"CAUGIG";"CAUTHA";"CELOCC";"CELORB";"CEPOCC";"CHEMAJ";"Circaea sp.";"Cirsium sp.";"CONMAJ";"CORALT";"CORCOR";"Cornus sp.";"Crataegus sp.";"CYSBUL";"DENPUN";"DIRPAL";"DRYGOL";"DRYMAR";"DRYSPI";"EPIHEL";"EPIVIR";"EQUARV";"ERIANN";"FAGGRA";"FRAALN";"FRAAME";"FRANIG";"FRAPEN";"FRAVIR";"Fraxinus sp.";"Galium sp.";"GALTRI";"GEUALE";"GEUCAN";"Geum sp.";"HIESCA";"HUPLUC";"HYDVIR";"HYSPAT";"IMPCAP";"IMPPAR";"INC";"INC_Fern";"INC_Forb";"INC_Gram";"INC_Shrub";"INC_Tree";"JUGNIG";"LAPCAN";"LEOCAR";"Lonicera sp.";"LONMOR";"LONTAT";"LYCOBS";"Lycopodium sp.";"LYSCIL";"LYSPUN";"MAICAN";"MAIRAC";"MALPRU";"MATSTR";"MEDVIR";"MENCAN";"MILEFF";"MITREP";"MONTRO";"Morus sp.";"OCLACU";"ONOSEN";"ORYASP";"ORYRAC";"OSMCIN";"OSMOCLA";"OSMREG";"OSMUCLA";"OSTVIR";"Oxalis sp.";"OXASTR";"PANQUI";"PARQUI";"Parthenocissus sp.";"PHRLEP";"Picea sp.";"PLAMAJ";"POLACR";"POLPUB";"POPDEL";"POPGRA";"POPTRE";"Populus sp.";"Prenanthes sp.";"PRUAME";"PRUNIG";"Prunus sp.";"PRUSER";"PRUVIR";"PTEAQU";"PYRELL";"QUEALB";"QUEMAC";"Quercus sp.";"QUERUB";"RAMCAT";"REYJAP";"RHURAD";"RIBCYN";"Ribes sp.";"RIBGLA";"RIBRUB";"RIBTRI";"Rosa sp.";"RUBALL";"RUBDAL";"RUBIDA";"RUBODO";"RUBPUB";"Rubus sp.";"RUMOBT";"SAMRAC";"SANCAN";"SANICAN";"SMIHER";"SOLCAE";"SOLDUL";"SOLFLE";"SOLGIG";"SOLHIS";"SOLPUB";"SOLRUG";"Sorbus sp.";"SORDEC";"SORHYB";"STATRI";"SYMCOR";"SYMLAN";"SYMLAT";"Symphiotrichum sp.";"SYMRAC";"Taraxacum sp.";"TAROFF";"TAXCAN";"THADIO";"THENOV";"TIACOR";"TILAME";"TILCOR";"TRIBOR";"TRIERE";"TRIGRA";"TSUCAN";"ULMAME";"ULMRUB";"Ulmus sp.";"UVUGRA";"VALOFF";"VEROFF";"VERSTR";"VIBCAS";"VIBLAN";"VIBLEN";"VIBX";"VIOCAN";"Viola sp.";"VIOPUB";"VITRIP";"ZANAME";"ZIZAUR";"CARDIP";"CLACAR";"Dicentra sp.";"ERYAME";"Polygonatum sp.";"Streptopus sp.";"STRLAN";"Trillium sp.";"TRIUND";"VIOMAC";"VIOSOR"
"1";"Aj";0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;6.66666666666667;6.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.66666666666667;0;0;0;8.33333333333333;0;1.66666666666667;0;0;0;3.33333333333333;0;0;0;0;0;0;0;0;0;0;0;6.66666666666667;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;23.3333333333333;0;0;0;0;0;1.66666666666667;13.3333333333333;0;6.66666666666667;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;6.66666666666667;0;0;0;6.66666666666667;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;6.66666666666667;0;0;0;0;0;58.3333333333333;0;0;0;16.6666666666667;0;0;0
"2";"An";0;0;0;0;0;0;0;0;0;46.6666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;26.6666666666667;0;3.33333333333333;0;0;0;3.33333333333333;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;1.66666666666667;8.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51.6666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0
"3";"Arb";0;0;0;0;8.33333333333333;0;0;0;1.66666666666667;23.3333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.66666666666667;0;0;0;0;3.33333333333333;1.66666666666667;0;0;0;0;3.33333333333333;0;0;0;0;0;8.33333333333333;0;0;1.66666666666667;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;8.33333333333333;0;0;1.66666666666667;0;0;0;0;1.66666666666667;0;0;0;0;0;1.66666666666667;0;1.66666666666667;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;43.3333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;0;0;0;0;1.66666666666667;3.33333333333333;0;0;0;0;0;0;0;0;8.33333333333333;0;6.66666666666667;0;0;8.33333333333333;0;0;0;0;0;0;28.3333333333333;0;28.3333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;11.6666666666667;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;3.33333333333333;0;0;3.33333333333333;0;0;0;0
"4";"Ath";0;0;0;0;0;0;0;0;0;18.3333333333333;0;0;0;0;3.33333333333333;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;0;0;3.33333333333333;5;0;0;0;0;0;0;0;0;5;1.66666666666667;0;0;1.66666666666667;0;6.66666666666667;0;0;0;0;0;3.33333333333333;0;0;0;0;0;0;0;0;0;0;0;8.33333333333333;0;0;0;0;13.3333333333333;0;8.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;3.33333333333333;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;5;0;0;0;0;0;0;0
"5";"Bro";0;0;0;0;0;0;0;0;0;78.3333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;5;0;0;0;26.6666666666667;0;1.66666666666667;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;11.6666666666667;0;0;1.66666666666667;0;0;16.6666666666667;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.3333333333333;0;0;0;0;0;0;0
"6";"Ce";0;0;0;0;0;0;0;0;0;53.3333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3.33333333333333;0;0;0;0;0;0;0;3.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;13.3333333333333;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0
"7";"Cho";0;0;0;0;1.66666666666667;0;0;0;0;8.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;0;0;0;0;0;0;0;0;3.33333333333333;13.3333333333333;1.66666666666667;0;0;0;0;21.6666666666667;5;0;0;0;0;15;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;8.33333333333333;0;0;0;0;0;5;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;6.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.6666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1.66666666666667;0;20;0;1.66666666666667;0;0;0;0;8.33333333333333;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;1.66666666666667;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;51.6666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91.6666666666667;0;0;0;0;0;0;0
"8";"Cor";0;0;0;0;3.33333333333333;0;0;0;0;6.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.6666666666667;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;3.33333333333333;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.6666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;1.66666666666667;0;0;0;0;1.66666666666667;0;0;0;0;5;0;0;0;0;0;0;58.3333333333333;0;11.6666666666667;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;6.66666666666667;0;0;0;0;0;0;0
"9";"Cui";0;0;0;0;0;0;0;0;0;83.3333333333333;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;3.33333333333333;0;0;0;0;0;5;0;0;0;5;0;3.33333333333333;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;13.3333333333333;0;23.3333333333333;0;0;56.6666666666667;0;0;0;0;0;0;0;0;0;10;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1.66666666666667;1.66666666666667;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;21.6666666666667;91.6666666666667;0;0;0;1.66666666666667;0;0;0
"10";"Dee";0;0;0;0;0;3.33333333333333;0;0;0;20;0;0;0;0;20;0;0;0;0;0;0;1.66666666666667;0;10;0;0;5;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;1.66666666666667;5;0;0;1.66666666666667;0;13.3333333333333;8.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.33333333333333;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;23.3333333333333;0;0;8.33333333333333;26.6666666666667;0;0;5;0;31.6666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;0;0;0;0;13.3333333333333;0;0;0;0;0
"11";"Dew";0;0;0;0;0;0;0;0;0;6.66666666666667;0;0;0;0;3.33333333333333;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;1.66666666666667;0;0;0;0;1.66666666666667;3.33333333333333;0;0;0;0;0;0;0;3.33333333333333;0;0;0;0;0;0;0;6.66666666666667;0;0;0;0;0;21.6666666666667;0;0;0;1.66666666666667;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;3.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;15;0;0;0;0;0;0;0;20;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0
"12";"Dor";1.66666666666667;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.66666666666667;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;13.3333333333333;0;0;0;0;0;13.3333333333333;0;0;0;0;0;0;0;0;0;0;0;6.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;3.33333333333333;38.3333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68.3333333333333;0;0;0;0;0;0;0
"13";"Duv";0;0;0;0;0;0;0;0;0;18.3333333333333;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;6.66666666666667;1.66666666666667;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;6.66666666666667;0;0;0;31.6666666666667;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.3333333333333;0;0;0;0;0;0;0
"14";"Ecl";0;0;0;0;0;0;0;0;0;3.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;73.3333333333333;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;83.3333333333333;0;0;0;0;0;0;0
"15";"Edi";0;0;0;0;0;0;0;0;0;46.6666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;1.66666666666667;0;0;0;5;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;0;0;3.33333333333333;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.66666666666667;6.66666666666667;0;0;0;0;3.33333333333333;0;0;0;0;0;0;0;20;0;0;0;0;0;0;8.33333333333333;0;33.3333333333333;0;0;0;0;0;0;0
"16";"Equ";0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;1.66666666666667;1.66666666666667;0;0;0;0;6.66666666666667;0;0;0;0;0;0;0;0;6.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;23.3333333333333;0;1.66666666666667;0;1.66666666666667;0;33.3333333333333;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;3.33333333333333;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;13.3333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0
"17";"Gra";0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;8.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;6.66666666666667;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;3.33333333333333;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;1.66666666666667;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.6666666666667;0;0;0;0;0;0;0
"18";"Hei";0;0;0;0;0;0;3.33333333333333;0;3.33333333333333;10;1.66666666666667;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;1.66666666666667;0;0;0;3.33333333333333;1.66666666666667;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;6.66666666666667;5;0;1.66666666666667;0;3.33333333333333;0;0;0;0;1.66666666666667;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;0;3.33333333333333;38.3333333333333;0;0;0;0;0;0;76.6666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;16.6666666666667;0;0;1.66666666666667;0;0;0;0;0;0;41.6666666666667;0;0;0;0;0;0;0
"19";"Iba";0;0;0;0;8.33333333333333;0;0;0;0;35;0;0;0;0;0;0;0;3.33333333333333;0;0;0;0;0;0;0;0;3.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;6.66666666666667;0;0;0;0;0;35;0;0;0;0;0;8.33333333333333;0;0;1.66666666666667;0;0;0;0;0;0;1.66666666666667;0;0;3.33333333333333;0;0;0;28.3333333333333;0;10;0;0;0;15;1.66666666666667;0;0;0;0;0;0;0;0;0;0;6.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;8.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
